kind,code,class_name,prof,room1,room2,date1,date2,start,end,kwan
교선,AF00056,기후위기와지속가능한농업,김병수,7204,,목,,12:00,14:50,새천년관
교선,AK00024,몸과윤리,변혜진,7208,,수,,12:00,14:50,새천년관
교선,AK00192,"인간,동물그리고기후의역사",남종영,M205,,화,,15:00,17:50,미가엘관
교선,AD00150,한국현대사회의이해,송용한,1506,,수,,12:00,14:50,승연관
교선,AE00070,세계노동운동의역사와이론,배성인,1504,,화,,15:00,17:50,승연관
교선,AK00061,성과문화,김순남,1506,,화,,12:00,14:50,승연관
교선,AK00062,현대사회와법2,박선화,3401,,수,,09:00,11:50,월당관
교선,AK00148,글로벌트랜드분석과미래세계,이남주,7107,,목,,09:00,11:50,새천년관
교선,AK00152,우리사회에대한철학적성찰,황주영,7107,,화,,12:00,14:50,새천년관
교선,AK00191,만화로문화다양성읽기,송하원,3501,,화,,15:00,17:50,월당관
교선,AD00042,논리와비판적사고,김시형,7208,,월,,12:00,14:50,새천년관
교선,AD00105,온라인게임과종교적상징,김한나,7107,,수,,15:00,17:50,새천년관
교선,AE00099,마음,남일성,7303,,화,,15:00,17:50,새천년관
교선,AK00097,인간관계심리와대인관계기술,최수빈,7208,,수,,09:00,11:50,새천년관
교선,AK00102,동양의사유,최성호,7107,,수,,12:00,14:50,새천년관
교선,AK00187,축의시대:철학과종교의탄생,김기명,3301,,목,,15:00,17:50,월당관
교선,AK00188,정신건강과자기돌봄,이현아,7107,,화,,09:00,11:50,새천년관
교선,AK00189,행동변화와자기관리,이현아,3502,,목,,12:00,14:50,월당관
교선,AU00004,예술심리치료의이해,윤라미,7107,,목,,12:00,14:50,새천년관
교선,AD00127,미술과상상력,이은주,7107,,수,,09:00,11:50,새천년관
교선,AD00172,더불어숲인문학(삶을위한인문공부),고병헌,7208,,월,,09:00,11:50,새천년관
교선,AK00013,현대문학톺아읽기,오현화,1506,,화,,15:00,17:50,승연관
교선,AK00019,더불어숲인문학(문학속문화읽기),오현화,7107,,목,,15:00,17:50,새천년관
교선,AK00104,사랑과연애의사회사,김영선,3501,,수,,15:00,17:50,월당관
교선,AK00149,엔터테인먼트산업의이해,김현희,M301,,수,,15:00,17:50,미가엘관
교선,AK00150,"신화와감성:오페라,영화,회화로읽는인간이야기",차피득,7208,,목,,15:00,17:50,새천년관
교선,AK00151,스피치의이해,미지정(채용중),3401,,목,,12:00,14:50,월당관
교선,AK00154,문화교양강독,전성원,1506,,수,,15:00,17:50,승연관
교선,AK00186,어제의인문학,김기명,3401,,화,,15:00,17:50,월당관
교선,AK00197,스피치와디베이트,이상철,3401,,수,,12:00,14:50,월당관
교선,AD00003,기초일본어,요코야마나호코,1505,1505,월,수,13:30,14:45,승연관
교선,AD00004,실용일본어,요코야마나호코,1505,1505,월,수,12:00,13:15,승연관
교선,AD00010,서양사의이해,한해정,7208,,목,,12:00,14:50,새천년관
교선,AD00109,기초영문법II,김성찬,7306,,수,,15:00,17:50,새천년관
교선,AK00017,동아시아역사와문화,심용환,M205,,수,,09:00,11:50,미가엘관
교선,AK00020,세계음식과역사,홍서연,3301,,목,,12:00,14:50,월당관
교선,AK00098,중동분쟁과이슬람인권,이희수조정현,7208,,수,,15:00,17:50,새천년관
교선,AK00100,교양스페인어,유현정,7208,,화,,12:00,14:50,새천년관
